N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
84,GS,"39,150",50,-0.13%,"5,000","36,376","92,915",22.80,"216,862",2.42,15.55,
85,삼성카드,"30,000",150,-0.50%,"5,000","34,758","115,859",6.93,"70,114",6.06,7.53,
86,롯데지주,"32,950",150,-0.45%,200,"34,568","104,909",8.07,"159,917",12.02,4.61,
87,현대오토에버,"123,000","3,500",+2.93%,500,"33,731","27,424",1.79,"90,197",43.04,7.26,
88,현대차2우B,"89,200",800,+0.90%,"5,000","32,545","36,485",60.05,"40,823",4.75,N/A,
89,BGF리테일,"188,000","4,000",+2.17%,"1,000","32,494","17,284",31.03,"28,221",20.60,19.61,
90,한국금융지주,"58,000","2,100",-3.49%,"5,000","32,321","55,726",33.85,"341,418",2.14,27.12,
91,현대미포조선,"80,200",200,+0.25%,"5,000","32,034","39,942",13.29,"255,474",-14.01,-7.11,
92,한국가스공사,"34,650",200,+0.58%,"5,000","31,986","92,313",10.85,"244,224",2.73,11.63,
93,메리츠금융지주,"24,800",600,-2.36%,500,"31,952","128,838",7.14,"170,003",3.51,22.33,
94,일진머티리얼즈,"68,600","1,300",+1.93%,500,"31,632","46,111",10.39,"457,281",44.43,7.85,
95,아모레G,"37,900",400,-1.04%,500,"31,252","82,458",15.08,"87,862",24.71,5.49,
96,쌍용C&E,"6,160",60,-0.96%,100,"31,038","503,860",2.96,"576,189",20.60,11.12,
97,NH투자증권,"9,040",30,+0.33%,"5,000","29,983","331,666",13.64,"780,594",3.61,14.77,
98,두산밥캣,"29,000",250,+0.87%,500,"29,072","100,249",24.22,"349,553",7.84,9.19,
99,현대해상,"32,100",950,+3.05%,500,"28,697","89,400",31.57,"505,180",6.25,8.82,
100,이마트,"101,500","1,000",-0.98%,"5,000","28,294","27,876",28.04,"122,313",1.24,16.25,
101,팬오션,"5,280",50,+0.96%,"1,000","28,225","534,570",15.66,"2,223,345",4.29,17.16,
102,삼성증권,"31,400",250,-0.79%,"5,000","28,040","89,300",27.45,"302,017",3.39,16.94,
103,OCI,"117,500","1,000",-0.84%,"5,000","28,023","23,849",15.61,"413,536",3.77,23.93,
104,메리츠증권,"4,365",25,-0.57%,"1,000","27,923","639,711",13.38,"894,906",3.74,15.77,
105,한미사이언스,"40,050","1,050",-2.55%,500,"27,484","68,624",1.47,"110,017",56.89,6.37,
106,호텔신라,"67,900",300,-0.44%,"5,000","26,649","39,248",14.98,"229,737",130.08,4.51,
107,CJ대한통운,"115,000",0,0.00%,"5,000","26,234","22,812",17.95,"29,333",38.04,1.59,
108,롯데쇼핑,"90,100",400,-0.44%,"5,000","25,488","28,289",11.27,"83,912",-12.58,-2.94,
109,GS리테일,"24,100",300,-1.23%,"1,000","25,237","104,718",6.98,"164,052",2.99,25.58,
110,제일기획,"21,900","1,150",-4.99%,200,"25,194","115,041",32.24,"632,402",14.17,15.58,
111,동서,"25,100",400,-1.57%,500,"25,025","99,700",2.95,"37,070",21.96,8.05,
112,한전기술,"65,300","1,200",-1.80%,200,"24,958","38,220",2.32,"168,334",189.83,3.25,
113,KCC,"275,500","1,500",-0.54%,"5,000","24,482","8,886",9.20,"19,175",-43.18,-0.92,
114,GS건설,"28,300",250,-0.88%,"5,000","24,220","85,581",29.84,"760,206",6.09,9.32,
115,한솔케미칼,"213,500","3,500",-1.61%,"5,000","24,201","11,335",34.41,"38,043",16.34,23.88,
116,에스원,"63,000",800,-1.25%,500,"23,939","37,999",52.94,"50,921",18.54,9.13,
117,만도,"50,700",600,-1.17%,"1,000","23,807","46,957",20.27,"330,186",16.10,9.31,
118,한화시스템,"12,400",50,+0.40%,"5,000","23,426","188,919",3.18,"394,335",24.55,6.04,
119,CJ,"77,900",200,+0.26%,"5,000","22,729","29,177",17.25,"30,309",9.10,5.66,
120,KODEX 레버리지,"14,105",120,-0.84%,0,"22,434","159,050",1.83,"28,737,902",N/A,N/A,
121,포스코인터내셔널,"18,150",200,+1.11%,"5,000","22,393","123,375",7.11,"468,957",5.22,10.86,
122,한화에어로스페이스,"43,300","1,650",+3.96%,"5,000","21,923","50,630",20.34,"492,571",10.85,9.21,
123,대우건설,"5,240",90,-1.69%,"5,000","21,779","415,623",11.01,"1,747,135",4.27,16.47,
